ctrl_id,name,nist_family,status,effectiveness,embedding
CTRL-01,Firewall rules,SC,implemented,0.9,"[0.72,0.2,0.35,0.08]"
CTRL-02,Encryption at rest,SC,implemented,0.92,"[0.12,0.12,-0.72,0.83]"
CTRL-03,Multi-factor authentication,IA,implemented,0.88,"[0.28,0.18,-0.48,0.72]"
CTRL-04,SIEM monitoring,AU,implemented,0.85,"[0.22,0.88,0.08,0.18]"
CTRL-05,Backup and recovery,CP,implemented,0.87,"[0.73,0.12,0.22,0.62]"
CTRL-06,Network segmentation,SC,implemented,0.58,"[0.68,0.22,0.32,0.12]"
CTRL-07,Vulnerability scanning,RA,implemented,0.52,"[0.82,0.18,0.68,-0.18]"
CTRL-08,Incident response plan,IR,partial,0.55,"[0.48,0.85,-0.12,0.28]"
CTRL-09,Third-party risk assessment,SA,partial,0.45,"[0.32,0.22,-0.48,0.72]"
CTRL-10,Penetration testing,CA,partial,0.5,"[0.78,0.12,0.72,-0.22]"
CTRL-11,Data classification,RA,partial,0.4,"[0.52,0.28,-0.38,0.58]"
CTRL-12,Privacy impact assessment,PL,partial,0.42,"[0.53,0.32,-0.42,0.58]"
CTRL-13,Change management,CM,partial,0.65,"[0.58,0.48,0.08,0.38]"
CTRL-14,Access review process,AC,partial,0.48,"[0.22,0.82,0.12,0.22]"
CTRL-15,Data erasure procedures,PM,partial,0.35,"[0.12,0.22,-0.58,0.48]"
CTRL-16,DPO governance framework,PM,partial,0.5,"[0.38,0.42,-0.22,0.52]"
CTRL-17,Financial reporting controls,PL,partial,0.68,"[0.58,0.48,0.12,0.38]"
CTRL-18,Audit committee procedures,AU,partial,0.55,"[0.28,0.68,0.18,0.22]"
CTRL-19,ICT resilience testing,CA,gap,0.1,"[0.83,0.13,0.68,-0.18]"
CTRL-20,Threat-led penetration testing (TLPT),CA,gap,0.05,"[0.78,0.08,0.73,-0.23]"
CTRL-21,ICT supply chain mapping,SA,gap,0.08,"[0.28,0.18,-0.52,0.73]"
CTRL-22,Digital operational resilience dashboard,PM,gap,0.05,"[0.88,0.28,-0.12,0.8]"
CTRL-23,Automated compliance reporting,AU,gap,0.12,"[0.42,0.52,-0.28,0.18]"
CTRL-24,Executive certification workflow,PL,gap,0.15,"[0.48,0.42,0.08,0.32]"
CTRL-25,Cardholder data environment isolation,SC,gap,0.18,"[0.08,0.12,-0.72,0.82]"
