pub_id,title,pub_date,embedding
PUB-001,BLE Mesh Networking for Industrial IoT: A Survey,2019-03-15,"[0.88,0.3,-0.2,0.74]"
PUB-002,Adaptive Routing Protocols for Low-Power Wireless Sensor Networks,2018-11-22,"[0.84,0.38,-0.25,0.7]"
PUB-003,Energy-Efficient Duty Cycling in IEEE 802.15.4 Mesh Networks,2020-01-10,"[0.8,0.25,-0.28,0.68]"
PUB-004,Kalman Filter Approaches for Multi-Sensor Fusion in IoT Systems,2019-07-08,"[0.42,0.7,-0.14,0.36]"
PUB-005,Edge Computing for Real-Time Sensor Data Aggregation,2020-05-18,"[0.46,0.68,-0.18,0.4]"
PUB-006,Bluetooth 5.0 Specification: Mesh Profile Overview,2017-07-13,"[0.9,0.28,-0.15,0.8]"
PUB-007,Neural Network Quantization Techniques for Microcontroller-Based IoT,2022-09-05,"[0.5,0.62,-0.22,0.55]"
PUB-008,TLS 1.3 Implementation Challenges in Resource-Constrained IoT Devices,2023-02-14,"[0.38,0.58,-0.1,0.32]"
PUB-009,Federated Learning at the IoT Edge: Opportunities and Constraints,2023-06-20,"[0.52,0.6,-0.24,0.48]"
PUB-010,Compressed Sensing for Bandwidth-Efficient Wireless Sensor Networks,2020-03-25,"[0.44,0.65,-0.16,0.42]"
