obl_id,reg_id,text,category,severity,weight,embedding
OBL-DORA-01,REG-DORA,ICT risk management framework,risk_management,critical,1,"[0.91,0.3,-0.15,0.82]"
OBL-DORA-02,REG-DORA,ICT incident reporting,reporting,critical,0.95,"[0.45,0.88,-0.1,0.3]"
OBL-DORA-03,REG-DORA,Digital operational resilience testing,testing,critical,0.95,"[0.85,0.15,0.7,-0.2]"
OBL-DORA-04,REG-DORA,ICT third-party risk management,third_party,high,0.9,"[0.3,0.2,-0.5,0.75]"
OBL-DORA-05,REG-DORA,Information sharing,reporting,medium,0.7,"[0.4,0.55,-0.3,0.2]"
OBL-DORA-06,REG-DORA,Business continuity,risk_management,critical,1,"[0.75,0.1,0.25,0.65]"
OBL-DORA-07,REG-DORA,Audit trail requirements,governance,high,0.85,"[0.2,0.9,0.1,0.15]"
OBL-DORA-08,REG-DORA,Threat-led penetration testing,testing,high,0.9,"[0.8,0.1,0.75,-0.25]"
OBL-GDPR-01,REG-GDPR,Data protection impact assessment,governance,high,0.85,"[0.55,0.3,-0.4,0.6]"
OBL-GDPR-02,REG-GDPR,Right to erasure,data_protection,high,0.8,"[0.1,0.2,-0.6,0.45]"
OBL-GDPR-03,REG-GDPR,Breach notification within 72h,reporting,critical,0.95,"[0.5,0.85,-0.15,0.25]"
OBL-GDPR-04,REG-GDPR,Data protection officer appointment,governance,medium,0.7,"[0.35,0.4,-0.2,0.5]"
OBL-SOX-01,REG-SOX,Internal controls over financial reporting,governance,critical,1,"[0.6,0.5,0.1,0.4]"
OBL-SOX-02,REG-SOX,CEO/CFO certification,governance,high,0.85,"[0.5,0.45,0.05,0.35]"
OBL-SOX-03,REG-SOX,Audit committee independence,governance,high,0.8,"[0.25,0.7,0.15,0.2]"
OBL-HIPAA-01,REG-HIPAA,PHI encryption at rest,data_protection,critical,0.95,"[0.15,0.1,-0.7,0.8]"
OBL-HIPAA-02,REG-HIPAA,Access control and audit logs,access_control,high,0.85,"[0.25,0.85,0.05,0.2]"
OBL-HIPAA-03,REG-HIPAA,Business associate agreements,third_party,high,0.8,"[0.3,0.25,-0.45,0.7]"
OBL-PCI-01,REG-PCI,Cardholder data encryption,data_protection,critical,1,"[0.1,0.15,-0.75,0.85]"
OBL-PCI-02,REG-PCI,Network segmentation and monitoring,access_control,high,0.85,"[0.7,0.25,0.3,0.1]"
